date,county,fips,new_cases,new_deaths
2020-03-13,Ada,16001.0,0.0,0.0
2020-03-14,Ada,16001.0,1.0,0.0
2020-03-15,Ada,16001.0,0.0,0.0
2020-03-16,Ada,16001.0,0.0,0.0
2020-03-17,Ada,16001.0,1.0,0.0
2020-03-18,Ada,16001.0,0.0,0.0
2020-03-19,Ada,16001.0,0.0,0.0
2020-03-20,Ada,16001.0,1.0,0.0
2020-03-21,Ada,16001.0,7.0,0.0
2020-03-22,Ada,16001.0,2.0,0.0
2020-03-23,Ada,16001.0,2.0,0.0
2020-03-24,Ada,16001.0,7.0,0.0
2020-03-25,Ada,16001.0,15.0,0.0
2020-03-26,Ada,16001.0,17.0,0.0
2020-03-27,Ada,16001.0,22.0,0.0
2020-03-28,Ada,16001.0,12.0,1.0
2020-03-29,Ada,16001.0,25.0,1.0
2020-03-30,Ada,16001.0,38.0,1.0
2020-03-31,Ada,16001.0,44.0,0.0
2020-04-01,Ada,16001.0,31.0,0.0
2020-04-02,Ada,16001.0,81.0,0.0
2020-04-03,Ada,16001.0,44.0,0.0
2020-04-04,Ada,16001.0,34.0,0.0
2020-04-05,Ada,16001.0,17.0,0.0
2020-04-06,Ada,16001.0,17.0,0.0
2020-04-07,Ada,16001.0,19.0,0.0
2020-04-08,Ada,16001.0,9.0,2.0
2020-04-09,Ada,16001.0,49.0,1.0
2020-04-10,Ada,16001.0,20.0,0.0
2020-04-11,Ada,16001.0,5.0,0.0
2020-04-12,Ada,16001.0,0.0,0.0
2020-04-13,Ada,16001.0,18.0,3.0
2020-04-14,Ada,16001.0,18.0,0.0
2020-04-15,Ada,16001.0,10.0,0.0
2020-04-16,Ada,16001.0,9.0,0.0
2020-04-17,Ada,16001.0,17.0,0.0
2020-04-18,Ada,16001.0,5.0,1.0
2020-04-19,Ada,16001.0,0.0,0.0
2020-04-20,Ada,16001.0,18.0,2.0
2020-04-21,Ada,16001.0,6.0,0.0
2020-04-22,Ada,16001.0,8.0,2.0
2020-04-23,Ada,16001.0,5.0,0.0
2020-04-24,Ada,16001.0,7.0,0.0
2020-04-25,Ada,16001.0,8.0,1.0
2020-04-26,Ada,16001.0,0.0,0.0
2020-04-27,Ada,16001.0,11.0,0.0
2020-04-28,Ada,16001.0,1.0,1.0
2020-04-29,Ada,16001.0,9.0,0.0
2020-04-30,Ada,16001.0,10.0,0.0
2020-05-01,Ada,16001.0,8.0,0.0
2020-05-02,Ada,16001.0,16.0,1.0
2020-05-03,Ada,16001.0,0.0,0.0
2020-05-04,Ada,16001.0,5.0,0.0
2020-05-05,Ada,16001.0,3.0,2.0
2020-05-06,Ada,16001.0,4.0,0.0
2020-05-07,Ada,16001.0,4.0,0.0
2020-05-08,Ada,16001.0,10.0,0.0
2020-05-09,Ada,16001.0,2.0,0.0
2020-05-10,Ada,16001.0,0.0,0.0
2020-05-11,Ada,16001.0,6.0,2.0
2020-05-12,Ada,16001.0,5.0,0.0
2020-05-13,Ada,16001.0,10.0,0.0
2020-05-14,Ada,16001.0,5.0,1.0
2020-05-15,Ada,16001.0,11.0,0.0
2020-05-16,Ada,16001.0,3.0,0.0
2020-05-17,Ada,16001.0,0.0,0.0
2020-05-18,Ada,16001.0,7.0,0.0
2020-05-19,Ada,16001.0,3.0,1.0
2020-05-20,Ada,16001.0,9.0,0.0
2020-05-21,Ada,16001.0,-1.0,0.0
2020-05-22,Ada,16001.0,3.0,0.0
2020-05-23,Ada,16001.0,2.0,0.0
2020-05-24,Ada,16001.0,0.0,0.0
2020-05-25,Ada,16001.0,2.0,0.0
2020-05-26,Ada,16001.0,0.0,-1.0
2020-05-27,Ada,16001.0,2.0,0.0
2020-05-28,Ada,16001.0,3.0,0.0
2020-05-29,Ada,16001.0,2.0,0.0
2020-05-30,Ada,16001.0,7.0,0.0
2020-05-31,Ada,16001.0,0.0,0.0
2020-06-01,Ada,16001.0,6.0,0.0
2020-06-02,Ada,16001.0,0.0,0.0
2020-06-03,Ada,16001.0,5.0,0.0
2020-06-04,Ada,16001.0,9.0,0.0
2020-06-05,Ada,16001.0,1.0,0.0
2020-06-06,Ada,16001.0,5.0,0.0
2020-06-07,Ada,16001.0,0.0,0.0
2020-06-08,Ada,16001.0,6.0,0.0
2020-06-09,Ada,16001.0,4.0,0.0
2020-06-10,Ada,16001.0,6.0,0.0
2020-06-11,Ada,16001.0,12.0,0.0
2020-06-12,Ada,16001.0,11.0,0.0
2020-06-13,Ada,16001.0,15.0,0.0
2020-06-14,Ada,16001.0,0.0,0.0
2020-06-15,Ada,16001.0,23.0,0.0
2020-06-16,Ada,16001.0,32.0,0.0
2020-06-17,Ada,16001.0,39.0,0.0
2020-06-18,Ada,16001.0,57.0,0.0
2020-06-19,Ada,16001.0,57.0,0.0
2020-06-20,Ada,16001.0,66.0,0.0
2020-06-21,Ada,16001.0,0.0,0.0
2020-06-22,Ada,16001.0,141.0,0.0
2020-06-23,Ada,16001.0,76.0,0.0
2020-06-24,Ada,16001.0,101.0,1.0
2020-06-25,Ada,16001.0,101.0,0.0
2020-06-26,Ada,16001.0,167.0,0.0
2020-06-27,Ada,16001.0,89.0,0.0
2020-06-28,Ada,16001.0,0.0,0.0
2020-06-29,Ada,16001.0,199.0,0.0
2020-06-30,Ada,16001.0,129.0,0.0
2020-07-01,Ada,16001.0,119.0,0.0
2020-07-02,Ada,16001.0,79.0,0.0
2020-07-03,Ada,16001.0,140.0,0.0
2020-07-04,Ada,16001.0,124.0,0.0
2020-07-05,Ada,16001.0,204.0,0.0
2020-07-06,Ada,16001.0,238.0,0.0
2020-07-07,Ada,16001.0,195.0,0.0
2020-07-08,Ada,16001.0,163.0,0.0
2020-07-09,Ada,16001.0,211.0,2.0
2020-07-10,Ada,16001.0,170.0,0.0
2020-07-11,Ada,16001.0,163.0,0.0
2020-07-12,Ada,16001.0,171.0,0.0
2020-07-13,Ada,16001.0,326.0,0.0
2020-07-14,Ada,16001.0,195.0,0.0
2020-07-15,Ada,16001.0,213.0,4.0
2020-07-16,Ada,16001.0,252.0,1.0
2020-07-17,Ada,16001.0,325.0,2.0
2020-07-18,Ada,16001.0,266.0,0.0
2020-07-19,Ada,16001.0,177.0,0.0
2020-07-20,Ada,16001.0,99.0,1.0
2020-07-21,Ada,16001.0,196.0,3.0
2020-07-22,Ada,16001.0,228.0,5.0
2020-07-23,Ada,16001.0,196.0,3.0
2020-07-24,Ada,16001.0,113.0,1.0
2020-07-25,Ada,16001.0,210.0,0.0
2020-07-26,Ada,16001.0,150.0,0.0
2020-07-27,Ada,16001.0,111.0,3.0
2020-07-28,Ada,16001.0,175.0,2.0
2020-07-29,Ada,16001.0,137.0,3.0
2020-07-30,Ada,16001.0,176.0,3.0
2020-07-31,Ada,16001.0,143.0,6.0
2020-08-01,Ada,16001.0,170.0,0.0
2020-08-02,Ada,16001.0,37.0,0.0
2020-08-03,Ada,16001.0,28.0,4.0
2020-08-04,Ada,16001.0,211.0,4.0
2020-08-05,Ada,16001.0,135.0,2.0
2020-08-06,Ada,16001.0,154.0,4.0
2020-08-07,Ada,16001.0,151.0,1.0
2020-08-08,Ada,16001.0,212.0,4.0
2020-08-09,Ada,16001.0,17.0,0.0
2020-08-10,Ada,16001.0,195.0,2.0
2020-08-11,Ada,16001.0,171.0,2.0
2020-08-12,Ada,16001.0,110.0,0.0
2020-08-13,Ada,16001.0,170.0,5.0
2020-08-14,Ada,16001.0,158.0,4.0
2020-08-15,Ada,16001.0,171.0,1.0
2020-08-16,Ada,16001.0,44.0,0.0
2020-08-17,Ada,16001.0,80.0,1.0
2020-08-18,Ada,16001.0,84.0,2.0
2020-08-19,Ada,16001.0,96.0,4.0
2020-08-20,Ada,16001.0,120.0,0.0
2020-08-21,Ada,16001.0,102.0,7.0
2020-08-22,Ada,16001.0,112.0,0.0
2020-08-23,Ada,16001.0,30.0,0.0
2020-08-24,Ada,16001.0,108.0,2.0
2020-08-25,Ada,16001.0,79.0,2.0
2020-08-26,Ada,16001.0,92.0,3.0
2020-08-27,Ada,16001.0,73.0,2.0
2020-08-28,Ada,16001.0,84.0,7.0
2020-08-29,Ada,16001.0,52.0,0.0
2020-08-30,Ada,16001.0,29.0,0.0
2020-08-31,Ada,16001.0,67.0,1.0
2020-09-01,Ada,16001.0,121.0,1.0
2020-09-02,Ada,16001.0,77.0,1.0
2020-09-03,Ada,16001.0,37.0,0.0
2020-09-04,Ada,16001.0,70.0,1.0
2020-09-05,Ada,16001.0,77.0,0.0
2020-09-06,Ada,16001.0,64.0,1.0
2020-09-07,Ada,16001.0,6.0,0.0
2020-09-08,Ada,16001.0,65.0,1.0
2020-09-09,Ada,16001.0,57.0,7.0
2020-09-10,Ada,16001.0,73.0,0.0
